abbrv,statefp,cluster,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
AL,01,0,0.0297194738606286,0.05056292696270558,0.018198705533487913,0.024120722512333735,0.028578959532507168,0.024632225957707695,0.02524171869816465,0.03928722908646789,0.0308151505249353,0.021269448224287075,0.044806798216213674,0.0192701969257289,0.026466311456692797,0.02147427854842309,0.022726056899174098,0.03163476951994182,0.021288624351145397,0.04350720591034744,0.02451291794046998,0.030942935382681707,0.023284981812631767,0.03323862677890983,0.022656583531903533,0.023026883641149708,0.023816605823979573,0.021046095304303573,0.02321379453558656,0.03355914828158265,0.036950752341996594,0.050215099916611605,0.03555070260437627,0.02909081349382642,0.01795148134178816,0.018339538552851163,0.029002237482846832
AK,02,6,0.032317667702343275,0.05411611355969401,0.012074189985898359,0.025283337834303775,0.03533266460902476,0.029296449016628295,0.022010713571032958,0.049094066480553075,0.036772152855172414,0.03626268419411357,0.04292750603211392,0.017180925698448434,0.03350066796810267,0.0225939756602524,0.015232722653111793,0.029592185394741746,0.018848532617132076,0.025783245851975313,0.02087248745111593,0.03524146916509793,0.021981853035984995,0.03485916499689676,0.014104230775872065,0.014773512177661263,0.02086306940690608,0.013631326729814368,0.017211252375680355,0.020015171950033384,0.03639032149926021,0.056720004785825916,0.056362375534511684,0.035977506007301215,0.017419919785234078,0.029766636107245177,0.015589899120433992
AZ,04,0,0.031074323607624563,0.04585363881465899,0.01618079877343405,0.025755914895338402,0.030968083415466897,0.025612544213384096,0.024475464894735555,0.03889128892703156,0.031244131655106637,0.01993180596646322,0.045187540296613926,0.01814785087998008,0.02725146145030527,0.02265454009965414,0.023938019066792094,0.032530777457596735,0.021767629801949843,0.042987748787478366,0.029477425394009504,0.02988372417197557,0.0235080095073182,0.0347645901562268,0.023515539930171733,0.02119856119979821,0.025014295573701252,0.020299391075309543,0.02368324063344656,0.029109233572458336,0.036666407238191305,0.04519188745661443,0.040840687585838344,0.028921459107899318,0.019341188208879066,0.018746428626661878,0.025384368584070397
AR,05,4,0.057834082374707954,0.041845941662946584,0.012938600684946145,0.016503002311595443,0.02594209785498545,0.026545511050936298,0.024565879692786938,0.03220708105511491,0.030366869301047247,0.012479376145605105,0.03822812426453189,0.007970634472732427,0.05718642339621711,0.017308460278648206,0.014506420212782225,0.03493040537268913,0.014452996522546903,0.03160037673563077,0.018984521966166883,0.038450515995851524,0.020161284409233916,0.0751877699042314,0.031694173996122864,0.025382614646911283,0.04009536939587346,0.01619568927482029,0.02016062488858521,0.01718355215440892,0.021842855697499955,0.0342326827264284,0.05023602849601113,0.02746507501241898,0.018462833925874448,0.025552175003582943,0.021299949927092863
CA,06,0,0.033078758134135196,0.043078476179557075,0.017259862641511883,0.028175962147888197,0.031142481843031276,0.027681012028701622,0.024853399094667772,0.04056396746433496,0.030355353733044477,0.019778914150919796,0.04774218620828224,0.019195114810842812,0.030302097044298808,0.02456534250028517,0.022341356505067668,0.0332340061687178,0.021281157039179724,0.03837719740644937,0.025812406153591556,0.03154911545381123,0.024375218250246165,0.034555053355285616,0.022852243739170077,0.020618393226693222,0.025196424651275556,0.018899236620595908,0.024453297902976845,0.028260103316622685,0.033019057935186766,0.039836938807630375,0.042197370664592455,0.031122048209604465,0.020741941338581173,0.018957848426295963,0.024546658030081946
CO,08,0,0.03183798253185305,0.04287147995554445,0.016919540974850926,0.02769002880833873,0.030458024947725128,0.028029183011141653,0.024695685033089953,0.03984475268856093,0.029776532160023378,0.01895459795178666,0.047137803757669315,0.019111576668386886,0.028336025247823346,0.023875199879419086,0.021774075047697804,0.03324884937241347,0.02028901754341549,0.04130028497103139,0.02507564213901065,0.029220878391771385,0.024547575347168504,0.0346734689680464,0.022508406882111864,0.021294848025334802,0.02501567038375288,0.01905279858680355,0.025164481069020684,0.03067386307465902,0.034595821731032116,0.04613213623795522,0.040968701022755676,0.030148040827740023,0.019314865151061077,0.019346833467492226,0.026115329345414173
CT,09,9,0.0308671524611535,0.0361269324879774,0.014954163762444002,0.029197755906985534,0.035230103210522924,0.03455189203064701,0.026494475123929564,0.04728477179557156,0.03528252168776084,0.016520272824130336,0.052909922882780396,0.015579685238290904,0.025559890893133035,0.0252829392098865,0.019829921572056045,0.03287205534344308,0.02253391274823549,0.036748275456183165,0.02248513130453303,0.03192973073512266,0.022523431943499806,0.03465651728575212,0.02893531978600157,0.021871889773812655,0.028775539252728372,0.019742987076042565,0.028280433495629906,0.02979719401372821,0.027564205779751005,0.03349379203399528,0.04484451049057336,0.02727387563479498,0.018319063206215746,0.019128653940322073,0.022551081239864934
DE,10,0,0.03312610969801905,0.04765190327209326,0.02163173864350578,0.026593925063239224,0.02894126265803829,0.030218113512474536,0.021144793972779456,0.038370176398979806,0.0329054609858771,0.017755126553850822,0.04882006346899746,0.019898624555365303,0.027285150948652942,0.02349617862686912,0.019596181693631524,0.02893243217143231,0.021099412780399476,0.03525703975524297,0.029884078300133836,0.028064691608399563,0.02481805582792269,0.03741087251165132,0.021576045437578493,0.01939968017251895,0.024765554162669536,0.01882565834792363,0.0285035412320187,0.030848687885317683,0.03457970208724418,0.03807210795333563,0.03652346672615093,0.032656326930880976,0.02036538109957442,0.02244853428154145,0.02853392123526427
DC,11,0,0.03227107481764425,0.03936507234180362,0.016315353314133932,0.028306514132230145,0.031788893324307885,0.027093399392154188,0.026446770931364185,0.041664841840971904,0.030486725996692263,0.019300443293172105,0.04775654904448593,0.01845675962128563,0.025874891253677368,0.024351266390963165,0.02199714367462723,0.03403015185183247,0.02206469587449584,0.039297996797490645,0.03083993479620721,0.03028036324477526,0.02305205522084618,0.03487837142132533,0.021873241073655913,0.020385842158271328,0.026076227523007773,0.019598009837712024,0.02497636216862442,0.028110775299594958,0.032629033789486436,0.04390680046923101,0.041237829087803435,0.029137850488662933,0.02165783002849614,0.019819664128136898,0.024671266260781994
FL,12,0,0.03168321945418344,0.04300159501460203,0.016877550429234642,0.027712921535388176,0.031720441028336294,0.02829381173180613,0.024840802587853157,0.039844484100369684,0.029845287639828254,0.01944961597037577,0.0488296247365652,0.01945703183645906,0.028247615726863073,0.024200633564984465,0.021580095546339467,0.03456304854716411,0.02112421817669842,0.03887648260374684,0.02572282862677894,0.02995483970573151,0.024028303067890708,0.034153223218909706,0.023080134892053718,0.021207648071176543,0.025248375879061827,0.019519687548501873,0.02495228870464894,0.02998126803589984,0.034630279953720304,0.04039689969096321,0.04185400394917027,0.030265885636835143,0.020096266282171125,0.018750845628833394,0.026008742104811713
