abbrv,statefp,cluster,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
AL,01,3,0.5253303860954475,0.548470651730895,0.49725468013476315,0.581772539184898,0.5608937031589448,0.5899548192003267,0.5387669968037709,0.5223810225536817,0.5790420573464304,0.5869038756478762,0.5132559110263131,0.49063009896932486,0.53600145688131,0.5078778607770801,0.5421657448959589,0.48835813746348516,0.513893376415498,0.4748103515459941,0.6436191502573229,0.5524682762669108,0.5174758865281383,0.5639181072342295,0.5561691573409646,0.5257413301911009,0.5660935943739281,0.5214301472174789,0.5808307775974245,0.5877798044226236,0.5184838288898076,0.5415297279063435,0.4861609856040658,0.5786350114921849,0.5686148937291852,0.6647852323960217,0.5374195723896912
AK,02,6,0.5678920834954526,0.46377206690609457,0.5831301953643561,0.592276754808457,0.6013525254174805,0.6662772283775777,0.47251836960869176,0.5489476477547038,0.5733060446464353,0.6289945538316307,0.5929786242687931,0.5542549130578454,0.6062626166028842,0.5246331926900893,0.6505155231888321,0.5138778165829453,0.6123834395424482,0.6169591291497151,0.6507595147881092,0.6635733769190583,0.5265139987692237,0.649599279044196,0.5587444658193624,0.5998383924438089,0.6450511800125242,0.5933830982074142,0.6481602741405368,0.7062860119023493,0.5236709957410183,0.5138359699674226,0.44287810051305726,0.6136792630578081,0.6593882346197086,0.7049063349746771,0.4593383996662768
AZ,04,3,0.5339759056091239,0.5374819405806752,0.5194336166175946,0.5779190070899329,0.5532557443606343,0.6011265099480305,0.5356493662053802,0.5718438168872586,0.572255191047615,0.5702212545494313,0.5439606322654749,0.5203058612709499,0.5567817703338993,0.5551701491575344,0.5698712596323339,0.5065063026911876,0.5437281092101819,0.5420031914561821,0.6583093239340398,0.5549860916023172,0.5372242954489971,0.5710878892973756,0.5402096284930509,0.5251788873811398,0.5635671962489089,0.5320857072328069,0.574226232223123,0.5434623738158363,0.5316354665303403,0.5305328862551942,0.5543897200735675,0.5681171588694102,0.5439434933545245,0.6481628032613035,0.570612812412795
AR,05,4,0.5122624947548364,0.5371944600483403,0.549326456648608,0.5251245797013065,0.5518520474433899,0.24581960516257417,0.5084771696581609,0.5240952153964078,0.4639237982292588,0.5264716794869552,0.47751118675140397,0.5334847689047456,0.525813829865964,0.5391555440798402,0.5658581704391461,0.4911875381635932,0.436153355112765,0.44315216447123223,0.6369005078643871,0.5934045047499239,0.43096551578491926,0.4118080018670298,0.4208697024016426,0.4275416599424637,0.5035192098306573,0.5816527232951061,0.6024162943552559,0.40869986650068313,0.49577797812526114,0.510931960977614,0.3812759737794598,0.578752312110737,0.5119642653735355,0.4721585130901076,0.4650771586623575
CA,06,3,0.5286667002634912,0.5196638607086698,0.5205525975940689,0.5740400606966606,0.5482993540302568,0.5826866030360919,0.5245531219582185,0.5667641725859583,0.5802833937145733,0.5574945504773706,0.5213609486032421,0.5079948770178303,0.5503790943066529,0.532900208435197,0.5672996063196376,0.500786504201656,0.5470030888332145,0.5417263003878782,0.6492521305991058,0.5384557481886576,0.5365708703477581,0.5592242433899193,0.5246591672047487,0.5220541631747886,0.5667102537465114,0.5257662794719671,0.5676189228959754,0.5474074226105279,0.5346962026363739,0.5257569066559528,0.5260497997905486,0.5449378304566674,0.5286817028910527,0.6371915772436066,0.5462355520236595
CO,08,3,0.5315520580554985,0.5266849771005047,0.5242003051449315,0.5721925802295279,0.5560072614311063,0.5990121742952063,0.5324683886856799,0.5756079111392046,0.5815633767151159,0.5782717984445894,0.5574590898135544,0.5257271024265918,0.5529944168626737,0.5448131749658717,0.5764262488499321,0.5023932049204352,0.562403444400202,0.5581259406544898,0.6463815780343112,0.5404968479805696,0.5399839696381278,0.5647044306848213,0.5326871020929456,0.5159314730310789,0.5597381988830917,0.5234983786552714,0.5714049973941424,0.558752483005976,0.5343901293467567,0.5365604245278914,0.5125082774383558,0.552994629099357,0.552469318451875,0.6582479466031114,0.5478536727112621
CT,09,3,0.5417887254331547,0.53520201229139,0.5187201129546303,0.5903867032846489,0.5316871900907683,0.5783009653565296,0.5019913732599842,0.5650671705920863,0.6040524146847874,0.5366800879368759,0.5370598389040925,0.5462393572786038,0.5543778404017612,0.5679893612795655,0.5268894416201628,0.47080976876845476,0.5539443335083076,0.5352073851939557,0.6262995954234845,0.5422715597781833,0.5735506317863757,0.534970192077304,0.5310234714038863,0.5480815750848064,0.5546527748915534,0.496991733307237,0.5666534951183975,0.5084917382132716,0.5129071855249049,0.5114033363482102,0.4463124331180631,0.5167747471698731,0.5087005239356445,0.6113941721061523,0.5501191579545829
DE,10,3,0.5152872981194054,0.4875443295506692,0.4539897320829632,0.5368712380671351,0.5569601811645519,0.570361564047517,0.49164252548787163,0.5279492897794426,0.575812159189098,0.5361953627439002,0.44698759961081136,0.4595842688233802,0.5347670670760715,0.4966171296907055,0.5547109829711503,0.44796555643328106,0.5228351547385005,0.5086659305781688,0.6375637802653834,0.514613300035844,0.5269943830932547,0.522034126537967,0.4779002492688596,0.5391983105822704,0.5393615792142673,0.4957659838633244,0.5637257747872862,0.5513363094501463,0.5021932592815209,0.5123506709960592,0.5339436681793474,0.5149860033509778,0.5003511662287836,0.6283688787839639,0.531113221035706
DC,11,3,0.5341330428111587,0.5283912838684922,0.5193004337093188,0.5711660516610638,0.5513172434468064,0.5963757035793988,0.5350254968692703,0.5756907995699022,0.5799773044742992,0.5663713174129568,0.5421046630016553,0.5146256437776742,0.5485434450152165,0.5391065793161739,0.5666256971312525,0.5162654768390875,0.5561263179783595,0.5218087778337177,0.6416184822238279,0.5404672891129986,0.5480122739136685,0.5579498179390515,0.527915195787334,0.522141388984992,0.5713817309517663,0.5337039433576255,0.5733056485724491,0.5391684579309656,0.5230814349051124,0.5160091842849663,0.5738657057436828,0.5617239922966276,0.5295257955908635,0.6363995442192837,0.5617644598696
FL,12,3,0.5286527904364108,0.5233725301091275,0.5342522879876423,0.5763341736464612,0.5566096188305996,0.5926751591334461,0.526180481354245,0.5678225898079431,0.5842183080289435,0.5644428697666405,0.5312096298201862,0.5151510065294043,0.5537286337127799,0.5416676391086499,0.5713315604278267,0.49386204865408795,0.5451330327748689,0.5567211366431428,0.6451891588083748,0.5356338985370499,0.5454483459353282,0.5612509941038795,0.532721181296239,0.5283203841907463,0.5680939329977219,0.5297180607060966,0.5756229747609476,0.5580088420862668,0.532911153228167,0.524788500270858,0.5305190772442377,0.5626433987484273,0.5389909756435916,0.6362293623107098,0.5578359259438956
