text,value,cluster
muslim,447786,0
trump,347477,0
immigration,339411,0
ban,294968,0
refugeee,137687,0
islam,133045,0
order,93473,0
immigrant,78579,0
people,56799,0
countries,53153,0
like,44372,0
obama,39144,0
president,37735,0
muslims,37645,0
new,35918,0
refugeees,35775,0
country,34365,0
america,32372,0
donald,32305,0
know,30620,0
muslim,23890,1
islam,13562,1
immigration,12160,1
trump,7427,1
refugeee,4564,1
immigrant,4226,1
women,3032,1
people,2427,1
like,2402,1
obama,2331,1
illegal,2080,1
muslims,1992,1
anti,1953,1
know,1532,1
new,1532,1
ban,1503,1
america,1490,1
religion,1453,1
wall,1439,1
country,1438,1
registry,1,2
sign,1,2
facebook,1,2
password,1,2
donald,1,2
option,1,2
worried,1,2
trump,1,2
forget,1,2
username,1,2
muslim,1,2
muslim,3953,3
immigration,3042,3
trump,2553,3
islam,2059,3
refugeee,917,3
immigrant,815,3
executive,669,3
wall,641,3
orders,613,3
women,520,3
border,504,3
ban,487,3
illegal,467,3
sign,437,3
like,436,3
countries,432,3
order,420,3
president,402,3
people,399,3
muslims,345,3
muslim,46881,4
immigration,33569,4
trump,25262,4
islam,23172,4
refugeee,11011,4
immigrant,10174,4
wall,6652,4
illegal,6348,4
executive,5807,4
women,5678,4
orders,5481,4
people,5465,4
ban,5465,4
like,5079,4
order,4615,4
border,4196,4
obama,3999,4
muslims,3960,4
anti,3853,4
president,3837,4
muslim,3645,5
trump,3265,5
ban,3084,5
immigration,2727,5
refugeee,1213,5
order,876,5
islam,835,5
countries,448,5
obama,443,5
immigrant,434,5
people,424,5
president,392,5
like,354,5
refugeees,304,5
muslims,294,5
donald,280,5
executive,265,5
support,250,5
anti,248,5
white,229,5
muslim,5992,6
islam,3841,6
immigration,2063,6
trump,1099,6
refugeee,1062,6
women,811,6
immigrant,761,6
obama,624,6
like,609,6
people,580,6
muslims,501,6
anti,423,6
sex,388,6
illegal,383,6
religion,376,6
know,375,6
new,362,6
america,344,6
world,335,6
woman,334,6
muslim,86819,7
immigration,66775,7
trump,62810,7
ban,51022,7
islam,28411,7
refugeee,25606,7
immigrant,17105,7
order,16264,7
people,10693,7
countries,9254,7
like,8915,7
obama,7630,7
muslims,7331,7
new,7301,7
president,7055,7
illegal,6487,7
refugeees,6477,7
country,6443,7
america,6190,7
anti,5976,7
muslim,84,8
islam,53,8
immigration,18,8
trump,16,8
obama,13,8
want,9,8
like,9,8
world,9,8
russian,8,8
new,7,8
immigrant,7,8
women,7,8
religion,7,8
muslims,7,8
going,7,8
radical,6,8
peace,6,8
time,6,8
spy,6,8
non,6,8
muslim,60,9
immigration,45,9
trump,26,9
islam,25,9
immigrant,22,9
illegal,17,9
refugeee,13,9
new,11,9
people,10,9
days,9,9
lasted,9,9
law,8,9
administration,8,9
like,8,9
federal,7,9
leader,7,9
america,7,9
ban,7,9
want,7,9
house,6,9
