topic,token,count,rank
0,anti,7127,4
0,ban,1398,15
0,believe,1981,13
0,community,2168,19
0,country,2299,12
0,family,2314,16
0,illegal,5812,5
0,immigrant,12937,3
0,immigration,28351,0
0,islam,2064,10
0,legal,3196,9
0,muslim,5915,2
0,order,717,8
0,president,1197,11
0,pro,4771,6
0,refugeee,1815,14
0,support,3643,7
0,trump,6805,1
0,women,796,18
0,world,1655,17
1,america,1696,17
1,american,2349,16
1,ban,29961,2
1,country,1291,15
1,donald,5999,10
1,executive,13514,5
1,illegal,1443,18
1,immigration,73620,0
1,islam,544,8
1,legal,3526,14
1,muslim,7148,3
1,new,9154,9
1,order,14180,4
1,orders,10237,7
1,people,1600,11
1,policies,3846,19
1,president,10665,6
1,refugeee,2130,12
1,security,5945,13
1,trump,53910,1
2,america,1839,12
2,anti,2148,8
2,ban,4731,3
2,countries,1020,10
2,country,892,18
2,donald,1391,16
2,immigrant,1395,15
2,immigration,11126,0
2,islam,1381,5
2,law,523,19
2,muslim,8572,2
2,muslims,1137,11
2,news,3335,7
2,order,1319,9
2,president,1162,13
2,protest,2928,14
2,refugeee,2849,4
2,support,1038,17
2,trump,10452,1
2,white,4477,6
3,ban,1581,5
3,god,4025,15
3,immigrant,1057,10
3,immigration,5587,2
3,islam,18681,1
3,know,2235,13
3,muslim,17592,0
3,new,919,16
3,obama,2420,8
3,people,7073,3
3,radical,4589,12
3,read,2716,11
3,refugeee,1420,7
3,says,2052,14
3,time,3606,9
3,trump,1929,4
3,want,6261,6
3,watch,2214,19
3,women,1295,17
3,won,1876,18
4,american,1188,19
4,ban,5793,3
4,country,4119,8
4,donald,932,13
4,immigrant,1334,17
4,immigration,3725,5
4,islam,10707,2
4,know,2825,12
4,like,4239,10
4,muslim,26258,0
4,muslims,3522,11
4,non,2266,15
4,people,7043,4
4,president,1452,16
4,refugeee,2230,7
4,states,3426,14
4,trump,6406,1
4,united,2722,18
4,women,5728,6
4,yes,5084,9
5,america,2417,11
5,anti,1464,15
5,ban,7998,1
5,countries,1221,16
5,europe,2820,14
5,good,1919,10
5,immigrant,1531,7
5,immigration,1587,6
5,islam,9459,2
5,know,7796,5
5,let,1845,17
5,muslim,30842,0
5,order,249,12
5,refugeee,3593,4
5,report,3468,13
5,stand,1401,18
5,terrorist,2503,9
5,trump,4547,3
5,usa,1945,19
5,video,3808,8
6,ban,5060,2
6,country,1371,16
